Price,Date,Close,High,Low,Open,Volume
Ticker,,SPY,SPY,SPY,SPY,SPY
3325,2023-03-21,382.8869934082031,383.366909918059,379.69073304916685,381.2840593769018,91524200
3326,2023-03-22,376.36016845703125,386.3232414014182,376.3217962204962,382.71428861761933,111746600
3327,2023-03-23,377.37762451171875,383.25179889041164,374.6708879123496,379.22048781510506,119351300
3328,2023-03-24,379.85400390625,379.94038538264834,373.7590569871103,376.10105243097433,107682400
3329,2023-03-27,380.56427001953125,382.8966870426311,379.6716321408978,382.1288028794633,74010400
3330,2023-03-28,379.7100524902344,380.5642888800985,377.8767674052834,379.87320774489075,62871700
3331,2023-03-29,385.2290954589844,385.4690537806492,382.6663276952182,383.86611930354206,77497900
3332,2023-03-30,387.4846496582031,388.1085353397573,385.6225710265115,387.8589693504225,69840000
3333,2023-03-31,392.9461364746094,393.24368242982905,388.30051790737826,388.4061147934353,112062600
3334,2023-04-03,394.4434814453125,394.84659500245755,392.03429064106433,392.4278257842298,67391100
3335,2023-04-04,392.25506591796875,395.37452397054454,390.88248211307797,395.08655642138893,66601500
3336,2023-04-05,391.22802734375,392.28384974684195,389.57711302940226,391.5255732993779,65200200
3337,2023-04-06,392.7541198730469,393.03247968178334,389.3850962213968,390.43131081559227,63743300
3338,2023-04-10,393.1572570800781,393.23406013832266,389.66347951634174,390.27775752337686,63681000
3339,2023-04-11,393.2627868652344,394.66413487537017,392.4949321645028,393.78110489870676,59297900
3340,2023-04-12,391.659912109375,395.61444936283374,391.0744279375137,395.3264818376402,86420400
3341,2023-04-13,396.8622131347656,397.2173467130726,391.6023169352439,392.7445207254535,85814800
3342,2023-04-14,395.892822265625,398.4171884519207,393.5892282764297,396.2287697684171,78161500
3343,2023-04-17,397.3133850097656,397.3325711300684,394.5778543396015,395.80643975007484,66436400
3344,2023-04-18,397.5724792480469,399.02183667204184,396.1999248791392,398.8874459715307,63560000
3345,2023-04-19,397.50531005859375,398.4075262603893,395.60482989922565,395.66241754419593,55227300
3346,2023-04-20,395.3360900878906,397.0829934844094,393.7907434550367,394.6929889766768,75840400
3347,2023-04-21,395.6432800292969,396.10398124565415,393.6948196903557,395.63367232336066,73457400
3348,2023-04-24,396.0560302734375,396.4783592805185,394.10756979195463,395.4417228843057,64332100
3349,2023-04-25,389.7690124511719,394.6449810037149,389.71142480850085,394.08826140218645,97766700
3350,2023-04-26,388.1181335449219,391.4583635816679,387.56144318468967,390.3833550986097,80447000
3351,2023-04-27,395.8448486328125,396.11360078097556,390.4025810177756,390.65214704527966,92968400
3352,2023-04-28,399.2233581542969,399.23296585827956,394.9041093784705,394.96169701880575,89433100
3353,2023-05-01,398.8203125,400.8455465437123,398.58993260769745,398.7819109693187,62122300
3354,2023-05-02,394.33782958984375,398.1579758951747,391.4391441559721,398.1099666648256,103998500
3355,2023-05-03,391.63116455078125,397.24619509986604,391.3912062306647,394.837004192524,91531800
3356,2023-05-04,388.85723876953125,390.91126663739385,387.52305652796423,390.5849268562114,94901900
3357,2023-05-05,396.0560302734375,397.10224508450085,392.2263046733684,392.4854491265273,87891800
3358,2023-05-08,396.1615905761719,396.64150723066325,394.76024214675766,396.3823627822816,50046800
3359,2023-05-09,394.4242858886719,395.53769601743005,394.19393527299343,394.61626426292884,49220100
3360,2023-05-10,396.2671813964844,397.8893020071386,392.44703434025826,397.2558085179079,96142900
3361,2023-05-11,395.5760803222656,395.8640185793233,393.5028369960926,395.4033173680311,70157100
3362,2023-05-12,395.05780029296875,397.02547621204064,392.6390308249023,396.8143117058912,70481500
3363,2023-05-15,396.42071533203125,396.8238288685914,393.75238023444746,395.6624389099318,54289400
3364,2023-05-16,393.77154541015625,396.23832360826236,393.7619377053924,395.3168627044219,57705500
3365,2023-05-17,398.551513671875,399.15618392738526,394.1458832024653,395.78718962241436,87287000
3366,2023-05-18,402.3908386230469,402.81316752783374,398.01400205687503,398.234744921799,97177200
3367,2023-05-19,401.8053894042969,403.8210450825171,400.5864117249465,403.29314851307697,103793300
3368,2023-05-22,401.9685974121094,403.5043365562108,400.5864351115969,401.8246282749285,60745400
3369,2023-05-23,397.4573669433594,401.9013998007867,397.0638317760762,400.32725913165393,86383500
3370,2023-05-24,394.577880859375,396.2384030684528,393.41649072958387,395.85447559408595,89213700
3371,2023-05-25,397.99481201171875,399.4441694496832,395.84479511708275,398.0811934806872,90961600
3372,2023-05-26,403.1491394042969,403.86901432087706,398.5707454798897,398.6475192492727,93830000
3373,2023-05-30,403.3027038574219,405.6062976614237,401.9205417166639,405.07840112218025,72216000
3374,2023-05-31,401.0662841796875,402.38125089733444,399.5017514717894,401.4790054006544,110811800
3375,2023-06-01,404.8768615722656,405.9326839874396,400.0489015795839,401.2966730663804,88865000
3376,2023-06-02,410.7318115234375,411.51885243910056,406.92127277329087,407.4491692853337,91426200
3377,2023-06-05,409.94476318359375,412.36353228842165,409.2440744066445,411.0773593229492,65460200
3378,2023-06-06,410.83740234375,411.3652988856477,408.8793344192004,409.53204325524,64022200
3379,2023-06-07,409.4168395996094,412.3635345526036,408.9945106484148,411.2309384070294,85373300
3380,2023-06-08,411.89324951171875,412.34437231335727,408.71620378018724,409.48405866767195,61952800
3381,2023-06-09,412.63226318359375,414.63831094166113,411.6436362158996,412.689850828952,85742800
3382,2023-06-12,416.3756408691406,416.4524439304632,412.89147087099775,413.61134578902306,76104300
3383,2023-06-13,419.1207580566406,419.76382988102273,417.1722978814529,417.8345851160925,95899700
3384,2023-06-14,419.6198425292969,421.4243335080621,416.1740450929453,419.4566872999007,100612100
3385,2023-06-15,424.8221740722656,426.0699454976172,418.7080413628314,418.8040012480244,110303100
3386,2023-06-16,423.3751525878906,427.3732510116979,422.9030966686289,426.80484934957235,114165800
3387,2023-06-20,421.17852783203125,422.324974340986,419.10722704210536,421.43866423022666,76160400
3388,2023-06-21,419.0205078125,420.99546279754975,418.4328194926715,420.1958550515707,76982300
3389,2023-06-22,420.5331115722656,420.6390713007603,417.72961825633774,418.06681362984074,70637200
3390,2023-06-23,417.35394287109375,419.1362363473925,416.6410372408123,417.084192410939,92074500
3391,2023-06-26,415.6487121582031,418.7026693868189,415.40786249787595,416.7855154988048,72823600
3392,2023-06-27,420.20562744140625,420.82218732627064,416.07263875155775,416.52543732038123,72813700
3393,2023-06-28,420.41754150390625,421.4290983033547,418.5100016357142,419.1265614695,75636000
3394,2023-06-29,422.0745544433594,422.2383451446893,419.5986423394109,420.00325329466176,67882300
3395,2023-06-30,427.05535888671875,428.0380149404403,424.9647708481831,425.2827088718478,104964000
3396,2023-07-03,427.546630859375,427.8259952574617,426.4290850652605,426.7084788639364,32793400
3397,2023-07-05,426.91082763671875,427.6430199831629,425.7258367708566,425.7354801650757,58418400
3398,2023-07-06,423.5677795410156,423.99167722455906,421.06293761114665,423.3365733138423,80658300
3399,2023-07-07,422.4985046386719,426.4388313482084,422.25765495425793,422.57559300201825,86134200
3400,2023-07-10,423.5677795410156,423.74118421139565,421.5735376298801,422.1419392054069,62443500
3401,2023-07-11,426.2653503417969,426.7566930521444,423.3558970583311,424.32893908451956,64463800
3402,2023-07-12,429.6950378417969,431.1016209821125,428.62567949600117,430.0515200243212,91924500
3403,2023-07-13,433.10552978515625,433.8955237982183,431.0727725814678,431.5062843686877,72425200
3404,2023-07-14,432.835693359375,434.83954937929775,432.0746002832751,433.99178336356243,69815800
3405,2023-07-17,434.3386535644531,435.3887545883977,432.64306249429234,432.6912500682276,52680200
3406,2023-07-18,437.5660095214844,438.2114701147798,433.5775252322227,434.0110663595222,80668200
3407,2023-07-19,438.5390930175781,439.72405458332963,437.48896257877516,438.35604491544507,65891700
3408,2023-07-20,435.6295471191406,438.44268380742795,434.9166416038705,437.54673021651973,70591600
3409,2023-07-21,435.6295471191406,437.54673021651973,435.6199331260899,437.34439535359957,71275600
3410,2023-07-24,437.5756530761719,438.38490436691495,435.74517222742827,436.7760157789645,54023400
3411,2023-07-25,438.770263671875,440.02267010001805,437.2577208036124,437.3059083742901,55191200
3412,2023-07-26,438.8376770019531,440.26348802035136,436.7856334140258,437.8357342912967,71052900
3413,2023-07-27,435.9281921386719,442.62382369326946,435.0225951669556,442.2191833737535,92194400
3414,2023-07-28,440.1960754394531,441.0245840745933,435.92819754722996,439.1941327220315,80011800
3415,2023-07-31,441.03424072265625,441.39069349037516,439.35790721415856,440.66814456102355,62040400
3416,2023-08-01,439.77215576171875,440.5139620189602,438.81837125887813,439.569820909262,55291500
3417,2023-08-02,433.6546630859375,436.92056940230765,432.903213273274,436.6604623365917,93933400
3418,2023-08-03,432.4118347167969,434.2904737931767,430.9956375639887,431.64112757810364,64276100
3419,2023-08-04,430.4561462402344,436.3232404604835,429.9359027397443,434.2230384704291,100128900
3420,2023-08-07,434.21337890625,434.36752621178806,431.59293351328745,432.28658168791264,58357500
3421,2023-08-08,432.3251037597656,434.2037427118271,428.9724661870649,431.6796137883657,71361300
3422,2023-08-09,429.4349365234375,432.7586735355105,428.6738433785323,432.59488283321724,78789600
3423,2023-08-10,429.5890197753906,435.1671052071516,428.42331584667255,431.7855671339231,93005500
3424,2023-08-11,429.3385314941406,430.35011754971424,427.1227267257981,427.7200290859293,68690900
3425,2023-08-14,431.70849609375,431.70849609375,428.11503843544807,428.4233330175674,47867400
3426,2023-08-15,426.6796569824219,430.292402044995,426.1112258867205,429.935919835655,75707500
3427,2023-08-16,423.5485534667969,427.9223617239687,423.44256433778145,426.2653150386881,80107200
3428,2023-08-17,420.3211669921875,425.273020314269,419.8009235363625,425.01291328665195,95711300
3429,2023-08-18,420.5234375,421.5542809321435,417.1611862051528,417.5079955464786,98852000
3430,2023-08-21,423.2594909667969,424.00129722321185,419.3866396038395,421.5349994297979,68719000
3431,2023-08-22,422.11309814453125,425.0321947779214,421.55433988295033,425.0321947779214,64994200
3432,2023-08-23,426.8144836425781,427.43107286328376,423.0283341735705,423.1728380844883,68441000
3433,2023-08-24,420.89923095703125,428.9243284062607,420.8703007742917,428.41372832126285,88517300
3434,2023-08-25,423.8665466308594,425.1478540242897,419.0784536965099,422.6237540187648,102325100
3435,2023-08-28,426.55438232421875,427.1709421526019,423.8664919427265,426.05339622552776,61595400
3436,2023-08-29,432.7200927734375,432.9994865828607,426.26531078000176,426.44835885508,83081900
3437,2023-08-30,434.50238037109375,435.13822692888783,432.35399106524045,433.057282576268,69053900
3438,2023-08-31,433.8665771484375,436.2557869248091,433.6835290574293,435.11898360214246,66084600
3439,2023-09-01,434.6757507324219,437.0649894821143,433.2210096589612,436.5832902552028,58944100
3440,2023-09-05,432.79718017578125,434.55057269413254,432.72976461783867,434.23266409054196,55166200
3441,2023-09-06,429.8877258300781,432.093916863234,427.56593166865076,431.9879277285903,70758500
3442,2023-09-07,428.56787109375,429.24223247025344,426.5447281630559,426.8915375451562,70355400
3443,2023-09-08,429.21337890625,430.7451793135571,428.25962359995947,428.61607641541775,61659700
3444,2023-09-11,432.0361633300781,432.3444285728758,430.1286232997532,431.8338284325165,60180100
3445,2023-09-12,429.6661071777344,432.1131477113599,429.08809157187744,430.5909909482861,67565400
